Title	TitleShort	ISSN	EISSN	Parent	Format	Field	Locale
Marketing Letters	Mark Lett	0923-0645	1573-059X	springer-socpsych-author-date	author-date	psychology	en-US
Mathematical Geosciences	Math Geosci	1874-8961	1874-8953	springer-basic-author-date	author-date	science	en-US
Letters in Mathematical Physics	Lett Math Phys	0377-9017	1573-0530	springer-mathphys-brackets	numeric	science	en-US
Continental Philosophy Review	Cont Philos Rev	1387-2842	1573-1103	springer-humanities-author-date	author-date	humanities	en-US
Methodology and Computing in Applied Probability	Methodol Comput Appl Probab	1387-5841	1573-7713	springer-basic-author-date	author-date	science	en-US
Molecular and Cellular Biochemistry	Mol Cell Biochem	0300-8177	1573-4919	springer-basic-brackets	numeric	science	en-US
Metabolic Brain Disease	Metab Brain Dis	0885-7490	1573-7365	springer-basic-author-date	author-date	science	en-US
Meccanica	Meccanica	0025-6455	1572-9648	springer-basic-brackets	numeric	science	en-US
Metascience	Metascience	0815-0796	1467-9981	springer-humanities-author-date	author-date	humanities	en-US
Theoretical Medicine and Bioethics	Theor Med Bioeth	1386-7415	1573-1200	springer-humanities-brackets	numeric	humanities	en-US
Medicine, Health Care and Philosophy	Med Health Care and Philos	1386-7423	1572-8633	springer-humanities-author-date	author-date	humanities	en-US
Minds and Machines	Minds & Machines	0924-6495	1572-8641	springer-socpsych-author-date	author-date	psychology	en-US
Minerva	Minerva	0026-4695	1573-1871	springer-humanities-author-date	author-date	humanities	en-US
Mitigation and Adaptation Strategies for Global Change	Mitig Adapt Strateg Glob Change	1381-2386	1573-1596	springer-basic-author-date	author-date	science	en-US
Molecular Diversity	Mol Divers	1381-1991	1573-501X	springer-basic-brackets	numeric	science	en-US
Motivation and Emotion	Motiv Emot	0146-7239	1573-6644	springer-socpsych-author-date	author-date	psychology	en-US
Molecular Breeding	Mol Breeding	1380-3743	1572-9788	springer-basic-author-date	author-date	science	en-US
Molecular Biology Reports	Mol Biol Rep	0301-4851	1573-4978	springer-basic-brackets	numeric	science	en-US
Mobile Networks and Applications	Mobile Netw Appl	1383-469X	1572-8153	springer-basic-brackets	numeric	science	en-US
Earth, Moon, and Planets	Earth Moon Planets	0167-9295	1573-0794	springer-physics-author-date	author-date	physics	en-US
Mathematical Physics, Analysis and Geometry	Math Phys Anal Geom	1385-0172	1572-9656	springer-mathphys-brackets	numeric	science	en-US
Multimedia Tools and Applications	Multimed Tools Appl	1380-7501	1573-7721	springer-basic-brackets	numeric	science	en-US
Mechanics of Time-Dependent Materials	Mech Time-Depend Mater	1385-2000	1573-2738	springer-mathphys-author-date	author-date	science	en-US
Multibody System Dynamics	Multibody Syst Dyn	1384-5640	1573-272X	springer-mathphys-brackets	numeric	science	en-US
Multidimensional Systems and Signal Processing	Multidim Syst Sign Process	0923-6082	1573-0824	springer-socpsych-author-date	author-date	psychology	en-US
Mycopathologia	Mycopathologia	0301-486X	1573-0832	springer-vancouver-brackets	numeric	medicine	en-US
Natural Computing	Nat Comput	1567-7818	1572-9796	springer-basic-author-date	author-date	science	en-US
Natural Language & Linguistic Theory	Nat Lang Linguist Theory	0167-806X	1573-0859	springer-humanities-author-date	author-date	humanities	en-US
Natural Language Semantics	Nat Lang Semantics	0925-854X	1572-865X	springer-humanities-author-date	author-date	humanities	en-US
Journal of Nanoparticle Research	J Nanopart Res	1388-0764	1572-896X	springer-basic-author-date	author-date	science	en-US
Natural Resources Research	Nat Resour Res	1520-7439	1573-8981	springer-socpsych-author-date	author-date	psychology	en-US
New Forests	New Forests	0169-4286	1573-5095	springer-basic-author-date	author-date	science	en-US
Neohelicon	Neohelicon	0324-4652	1588-2810	springer-socpsych-author-date	author-date	psychology	en-US
Journal of Neuro-Oncology	J Neurooncol	0167-594X	1573-7373	springer-basic-brackets	numeric	science	en-US
Neophilologus	Neophilologus	0028-2677	1572-8668	springer-socpsych-author-date	author-date	psychology	en-US
Neural Processing Letters	Neural Process Lett	1370-4621	1573-773X	springer-basic-brackets	numeric	science	en-US
Neurochemical Research	Neurochem Res	0364-3190	1573-6903	springer-basic-brackets	numeric	science	en-US
Neuropsychology Review	Neuropsychol Rev	1040-7308	1573-6660	springer-socpsych-author-date	author-date	psychology	en-US
NETNOMICS: Economic Research and Electronic Networking	Netnomics	1385-9587	1573-7071	springer-socpsych-brackets	numeric	psychology	en-US
Networks and Spatial Economics	Netw Spat Econ	1566-113X	1572-9427	springer-basic-author-date	author-date	science	en-US
Natural Hazards	Nat Hazards	0921-030X	1573-0840	springer-basic-author-date	author-date	science	en-US
Nonlinear Dynamics	Nonlinear Dyn	0924-090X	1573-269X	springer-mathphys-brackets	numeric	science	en-US
Numerical Algorithms	Numer Algor	1017-1398	1572-9265	springer-mathphys-brackets	numeric	science	en-US
Policy Sciences	Policy Sci	0032-2687	1573-0891	springer-socpsych-author-date	author-date	psychology	en-US
Open Economies Review	Open Econ Rev	0923-7992	1573-708X	springer-basic-author-date	author-date	science	en-US
Optimization and Engineering	Optim Eng	1389-4420	1573-2924	springer-basic-author-date	author-date	science	en-US
Optical and Quantum Electronics	Opt Quant Electron	0306-8919	1572-817X	springer-mathphys-author-date	author-date	science	en-US
Order	Order	0167-8094	1572-9273	springer-mathphys-brackets	numeric	science	en-US
Origins of Life and Evolution of Biospheres	Orig Life Evol Biosph	0169-6149	1573-0875	springer-basic-author-date	author-date	science	en-US
Pastoral Psychology	Pastoral Psychol	0031-2789	1573-6679	springer-socpsych-author-date	author-date	psychology	en-US
Plasma Chemistry and Plasma Processing	Plasma Chem Plasma Process	0272-4324	1572-8986	springer-basic-brackets	numeric	science	en-US
Educational Assessment, Evaluation and Accountability	Educ Asse Eval Acc	1874-8597	1874-8600	springer-socpsych-author-date	author-date	psychology	en-US
Pharmaceutical Research	Pharm Res	0724-8741	1573-904X	springer-vancouver-brackets	numeric	medicine	en-US
International Journal of Clinical Pharmacy	Int J Clin Pharm	2210-7703	2210-7711	springer-vancouver-brackets	numeric	medicine	en-US
Phenomenology and the Cognitive Sciences	Phenom Cogn Sci	1568-7759	1572-8676	springer-socpsych-author-date	author-date	psychology	en-US
Philosophical Studies	Philos Stud	0031-8116	1573-0883	springer-socpsych-author-date	author-date	psychology	en-US
Phytochemistry Reviews	Phytochem Rev	1568-7767	1572-980X	springer-basic-author-date	author-date	science	en-US
Pituitary	Pituitary	1386-341X	1573-7403	springer-basic-brackets	numeric	science	en-US
Plant Molecular Biology	Plant Mol Biol	0167-4412	1573-5028	springer-basic-author-date	author-date	science	en-US
Plant and Soil	Plant Soil	0032-079X	1573-5036	springer-basic-author-date	author-date	science	en-US
Plant Molecular Biology Reporter	Plant Mol Biol Rep	0735-9640	1572-9818	springer-basic-author-date	author-date	science	en-US
Photonic Network Communications	Photon Netw Commun	1387-974X	1572-8188	springer-mathphys-brackets	numeric	science	en-US
Political Behavior	Polit Behav	0190-9320	1573-6687	springer-socpsych-author-date	author-date	psychology	en-US
Population and Environment	Popul Environ	0199-0039	1573-7810	springer-socpsych-author-date	author-date	psychology	en-US
Population Research and Policy Review	Popul Res Policy Rev	0167-5923	1573-7829	springer-socpsych-author-date	author-date	psychology	en-US
Public Organization Review	Public Organiz Rev	1566-7170	1573-7098	springer-socpsych-author-date	author-date	psychology	en-US
Transportation	Transportation	0049-4488	1572-9435	springer-mathphys-author-date	author-date	science	en-US
Positivity	Positivity	1385-1292	1572-9281	springer-mathphys-brackets	numeric	science	en-US
Potential Analysis	Potential Anal	0926-2601	1572-929X	springer-mathphys-brackets	numeric	science	en-US
Precision Agriculture	Precision Agric	1385-2256	1573-1618	springer-socpsych-author-date	author-date	psychology	en-US
Photosynthesis Research	Photosynth Res	0166-8595	1573-5079	springer-basic-author-date	author-date	science	en-US
Prevention Science	Prev Sci	1389-4986	1573-6695	springer-socpsych-author-date	author-date	psychology	en-US
Journal of Productivity Analysis	J Prod Anal	0895-562X	1573-0441	springer-basic-author-date	author-date	science	en-US
PROSPECTS	Prospects	0033-1538	1573-9090	springer-socpsych-author-date	author-date	psychology	en-US
Public Choice	Public Choice	0048-5829	1573-7101	springer-socpsych-author-date	author-date	psychology	en-US
Quantum Information Processing	Quantum Inf Process	1570-0755	1573-1332	springer-mathphys-brackets	numeric	science	en-US
Quantitative Marketing and Economics	Quant Mark Econ	1570-7156	1573-711X	springer-socpsych-author-date	author-date	psychology	en-US
Plant Foods for Human Nutrition	Plant Foods Hum Nutr	0921-9668	1573-9104	springer-basic-brackets	numeric	science	en-US
Qualitative Sociology	Qual Sociol	0162-0436	1573-7837	springer-humanities-author-date	author-date	humanities	en-US
Queueing Systems	Queueing Syst	0257-0130	1572-9443	springer-mathphys-brackets	numeric	science	en-US
Quality & Quantity	Qual Quant	0033-5177	1573-7845	springer-mathphys-author-date	author-date	science	en-US
Quality of Life Research	Qual Life Res	0962-9343	1573-2649	springer-socpsych-brackets	numeric	psychology	en-US
The Review of Austrian Economics	Rev Austrian Econ	0889-3047	1573-7128	springer-socpsych-author-date	author-date	psychology	en-US
The Ramanujan Journal	Ramanujan J	1382-4090	1572-9303	springer-mathphys-brackets	numeric	science	en-US
Review of Accounting Studies	Rev Account Stud	1380-6653	1573-7136	springer-socpsych-author-date	author-date	psychology	en-US
Reaction Kinetics, Mechanisms and Catalysis	Reac Kinet Mech Cat	1878-5190	1878-5204	springer-basic-brackets	numeric	science	en-US
Reading and Writing	Read Writ	0922-4777	1573-0905	springer-socpsych-author-date	author-date	psychology	en-US
The Journal of Real Estate Finance and Economics	J Real Estate Finan Econ	0895-5638	1573-045X	springer-socpsych-author-date	author-date	psychology	en-US
Review of Derivatives Research	Rev Deriv Res	1380-6645	1573-7144	springer-socpsych-author-date	author-date	psychology	en-US
Journal of Regulatory Economics	J Regul Econ	0922-680X	1573-0468	springer-socpsych-author-date	author-date	psychology	en-US
Review of Economics of the Household	Rev Econ Household	1569-5239	1573-7152	springer-socpsych-author-date	author-date	psychology	en-US
Review of Industrial Organization	Rev Ind Organ	0889-938X	1573-7160	springer-socpsych-author-date	author-date	psychology	en-US
International Journal for Philosophy of Religion	Int J Philos Relig	0020-7047	1572-8684	springer-socpsych-author-date	author-date	psychology	en-US
Reviews in Endocrine and Metabolic Disorders	Rev Endocr Metab Disord	1389-9155	1573-2606	springer-vancouver-brackets	numeric	medicine	en-US
Review of Quantitative Finance and Accounting	Rev Quant Finan Acc	0924-865X	1573-7179	springer-basic-author-date	author-date	science	en-US
Reviews in Environmental Science and Bio/Technology	Rev Environ Sci Biotechnol	1569-1705	1572-9826	springer-basic-author-date	author-date	science	en-US
Res Publica	Res Publica	1356-4765	1572-8692	springer-humanities-author-date	author-date	humanities	en-US
International Review of Education	Int Rev Educ	0020-8566	1573-0638	springer-socpsych-author-date	author-date	psychology	en-US
Reviews in Fish Biology and Fisheries	Rev Fish Biol Fisheries	0960-3166	1573-5184	springer-basic-author-date	author-date	science	en-US
Research in Higher Education	Res High Educ	0361-0365	1573-188X	springer-socpsych-author-date	author-date	psychology	en-US
Research on Chemical Intermediates	Res Chem Intermed	0922-6168	1568-5675	springer-physics-brackets	numeric	physics	en-US
Research in Science Education	Res Sci Educ	0157-244X	1573-1898	springer-socpsych-author-date	author-date	psychology	en-US
Journal of Risk and Uncertainty	J Risk Uncertain	0895-5646	1573-0476	springer-socpsych-author-date	author-date	psychology	en-US
Russian Linguistics	Russ Linguist	0304-3487	1572-8714	springer-socpsych-author-date	author-date	psychology	en-US
Theory and Society	Theor Soc	0304-2421	1573-7853	springer-socpsych-author-date	author-date	psychology	en-US
Small Business Economics	Small Bus Econ	0921-898X	1573-0913	springer-socpsych-author-date	author-date	psychology	en-US
Science & Education	Sci & Educ	0926-7220	1573-1901	springer-socpsych-author-date	author-date	psychology	en-US
Scientometrics	Scientometrics	0138-9130	1588-2861	springer-socpsych-author-date	author-date	psychology	en-US
Sexuality and Disability	Sex Disabil	0146-1044	1573-6717	springer-mathphys-brackets	numeric	science	en-US
International Journal for the Semiotics of Law - Revue internationale de Sémiotique juridique	Int J Semiot Law	0952-8059	1572-8722	springer-humanities-brackets	numeric	humanities	en-US
Sex Roles	Sex Roles	0360-0025	1573-2762	springer-socpsych-author-date	author-date	psychology	en-US
Statistical Inference for Stochastic Processes	Stat Inference Stoch Process	1387-0874	1572-9311	springer-basic-author-date	author-date	science	en-US
Social Indicators Research	Soc Indic Res	0303-8300	1573-0921	springer-socpsych-author-date	author-date	psychology	en-US
Social Justice Research	Soc Just Res	0885-7466	1573-6725	springer-socpsych-author-date	author-date	psychology	en-US
Studies in East European Thought	Stud East Eur Thought	0925-9392	1573-0948	springer-socpsych-author-date	author-date	psychology	en-US
Systemic Practice and Action Research	Syst Pract Action Res	1094-429X	1573-9295	springer-basic-author-date	author-date	science	en-US
Space Science Reviews	Space Sci Rev	0038-6308	1572-9672	springer-physics-author-date	author-date	physics	en-US
Studies in Philosophy and Education	Stud Philos Educ	0039-3746	1573-191X	springer-socpsych-author-date	author-date	psychology	en-US
Social Psychology of Education	Soc Psychol Educ	1381-2890	1573-1928	springer-socpsych-author-date	author-date	psychology	en-US
Software Quality Journal	Software Qual J	0963-9314	1573-1367	springer-socpsych-author-date	author-date	psychology	en-US
Sensing and Imaging	Sens Imaging	1557-2064	1557-2072	springer-socpsych-brackets	numeric	psychology	en-US
Statistics and Computing	Stat Comput	0960-3174	1573-1375	springer-mathphys-author-date	author-date	science	en-US
